Team,Player,Position,Starter
49ers,Deommodore Lenoir,CB,TRUE
49ers,Renardo Green,CB,TRUE
49ers,Upton Stout,CB,TRUE
49ers,Alfred Collins,DT,TRUE
49ers,Osa Odighizuwa,DT,TRUE
49ers,Mykel Williams,ED,TRUE
49ers,Nick Bosa,ED,TRUE
49ers,Connor Colby,IOL,TRUE
49ers,Dominick Puni,IOL,TRUE
49ers,Jake Brendel,IOL,TRUE
49ers,Dee Winters,LB,TRUE
49ers,Fred Warner,LB,TRUE
49ers,Colton McKivitz,OT,TRUE
49ers,Trent Williams,OT,TRUE
49ers,Brock Purdy,QB,TRUE
49ers,Christian McCaffrey,RB,TRUE
49ers,Ji'Ayir Brown,S,TRUE
49ers,Malik Mustapha,S,TRUE
49ers,George Kittle,TE,TRUE
49ers,Christian Kirk,WR,TRUE
49ers,Mike Evans,WR,TRUE
49ers,Ricky Pearsall,WR,TRUE
49ers,Darrell Luter Jr.,CB,
49ers,Eli Apple,CB,
49ers,Jakob Robinson,CB,
49ers,Nate Hobbs,CB,
49ers,Siran Neal,CB,
49ers,Tre Tomlinson,CB,
49ers,C.J. West,DT,
49ers,Evan Anderson,DT,
49ers,Sebastian Valdez,DT,
49ers,Andrew Farmer II,ED,
49ers,Keion White,ED,
49ers,Sam Okuayinonu,ED,
49ers,William Bradley-King,ED,
49ers,Kyle Juszczyk,FB,
49ers,Brett Toth,IOL,
49ers,Drake Nugent,IOL,
49ers,Nick Zakelj,IOL,
49ers,Rob Jones,IOL,
49ers,Eddy Piñeiro,K,
49ers,Dre Greenlaw,LB,
49ers,Garret Wallow,LB,
49ers,Jalen Graham,LB,
49ers,Luke Gifford,LB,
49ers,Milo Eifler,LB,
49ers,Nick Martin,LB,
49ers,Tatum Bethune,LB,
49ers,Jon Weeks,LS,
49ers,Zach Thomas,IOL,
49ers,Austen Pleasants,OT,
49ers,Brandon Parker,OT,
49ers,Isaac Alarcon,OT,
49ers,Vederian Lowe,OT,
49ers,Corliss Waitman,P,
49ers,Adrian Martinez,QB,
49ers,Kurtis Rourke,QB,
49ers,Mac Jones,QB,
49ers,Isaac Guerendo,RB,
49ers,Jordan James,RB,
49ers,Patrick Taylor Jr.,RB,
49ers,Darrick Forrest,S,
49ers,Derrick Canteen,S,
49ers,Marques Sigle,S,
49ers,Brayden Willis,TE,
49ers,Hayden Rucci,TE,
49ers,Jake Tonges,TE,
49ers,Luke Farrell,TE,
49ers,Colton Dowell,WR,
49ers,Demarcus Robinson,WR,
49ers,Jacob Cowing,WR,
49ers,Jordan Watkins,WR,
49ers,Junior Bergen,WR,
49ers,Malik Turner,WR,
Bears,Jaylon Johnson,CB,TRUE
Bears,Kyler Gordon,CB,TRUE
Bears,Tyrique Stevenson,CB,TRUE
Bears,Gervon Dexter Sr.,DT,TRUE
Bears,Grady Jarrett,DT,TRUE
Bears,Dayo Odeyingbo (Motivated?),ED,TRUE
Bears,Montez Sweat,ED,TRUE
Bears,Garrett Bradbury,IOL,TRUE
Bears,Joe Thuney,IOL,TRUE
Bears,Jonah Jackson,IOL,TRUE
Bears,Devin Bush,LB,TRUE
Bears,T.J. Edwards,LB,TRUE
Bears,Darnell Wright,OT,TRUE
Bears,Theo Benedet,OT,TRUE
Bears,Caleb Williams,QB,TRUE
Bears,D'Andre Swift,RB,TRUE
Bears,Cam Lewis,S,TRUE
Bears,Coby Bryant,S,TRUE
Bears,Colston Loveland,TE,TRUE
Bears,Kalif Raymond,WR,TRUE
Bears,Luther Burden III,WR,TRUE
Bears,Rome Odunze,WR,TRUE
Bears,Dallis Flowers,CB,
Bears,Dontae Manning,CB,
Bears,Jaylon Jones,CB,
Bears,Josh Blackwell,CB,
Bears,Terell Smith,CB,
Bears,Zah Frazier,CB,
Bears,James Lynch,DT,
Bears,Kentavius Street,DT,
Bears,Neville Gallimore,DT,
Bears,Shemar Turner,DT,
Bears,Austin Booker,ED,
Bears,Daniel Hardy,ED,
Bears,Jamree Kromah,ED,
Bears,Jeremiah Martin,ED,
Bears,Jonathan Garvin,ED,
Bears,Jordan McFadden,IOL,
Bears,Kyle Hergel,IOL,
Bears,Luke Newman,IOL,
Bears,Cairo Santos,K,
Bears,D'Marco Jackson,LB,
Bears,Dominique Hampton,LB,
Bears,Jack Sanborn,LB,
Bears,Nephi Sewell,LB,
Bears,Noah Sewell,LB,
Bears,Ruben Hyppolite II,LB,
Bears,Luke Elkin,LS,
Bears,Kiran Amegadjie,IOL,
Bears,Braxton Jones,OT,
Bears,Jedrick Wills Jr.,OT,
Bears,Ozzy Trapilo,OT,
Bears,Tory Taylor,P,
Bears,Case Keenum,QB,
Bears,Tyson Bagent,QB,
Bears,Brittain Brown,RB,
Bears,Deion Hankins,RB,
Bears,Kyle Monangai,RB,
Bears,Roschon Johnson,RB,
Bears,Elijah Hicks,S,
Bears,Gervarrius Owens,S,
Bears,Cole Kmet,TE,
Bears,Nikola Kalinic,TE,
Bears,Qadir Ismail,TE,
Bears,Stephen Carlson,TE,
Bears,Jahdae Walker,WR,
Bears,JP Richardson,WR,
Bears,Maurice Alexander,WR,
Bengals,Dax Hill,CB,TRUE
Bengals,DJ Turner II,CB,TRUE
Bengals,Jalen Davis,CB,TRUE
Bengals,B.J. Hill,DT,TRUE
Bengals,Jonathan Allen,DT,TRUE
Bengals,Boye Mafe,ED,TRUE
Bengals,Myles Murphy,ED,TRUE
Bengals,Dalton Risner,IOL,TRUE
Bengals,Dylan Fairchild,IOL,TRUE
Bengals,Ted Karras,IOL,TRUE
Bengals,Barrett Carter,LB,TRUE
Bengals,Demetrius Knight Jr.,LB,TRUE
Bengals,Amarius Mims,OT,TRUE
Bengals,Orlando Brown Jr.,OT,TRUE
Bengals,Joe Burrow,QB,TRUE
Bengals,Chase Brown,RB,TRUE
Bengals,Bryan Cook,S,TRUE
Bengals,Jordan Battle,S,TRUE
Bengals,Drew Sample,TE,TRUE
Bengals,Andrei Iosivas,WR,TRUE
Bengals,Ja'Marr Chase,WR,TRUE
Bengals,Tee Higgins,WR,TRUE
Bengals,Bralyn Lux,CB,
Bengals,DJ Ivey,CB,
Bengals,Jalen Kimber,CB,
Bengals,Josh Newton,CB,
Bengals,Howard Cross III,DT,
Bengals,Jordan Jefferson,DT,
Bengals,Kris Jenkins Jr.,DT,
Bengals,McKinnley Jackson,DT,
Bengals,T.J. Slaton Jr.,DT,
Bengals,Antwaun Powell-Ryland,ED,
Bengals,Cedric Johnson,ED,
Bengals,Isaiah Foskey,ED,
Bengals,Shemar Stewart,ED,
Bengals,Jacob Bayer,IOL,
Bengals,Jalen Rivers,IOL,
Bengals,Matt Lee,IOL,
Bengals,Evan McPherson,K,
Bengals,Joe Giles-Harris,LB,
Bengals,Liam Anderson,LB,
Bengals,Oren Burks,LB,
Bengals,Shaka Heyward,LB,
Bengals,William Wagner,LS,
Bengals,Andrew Coker,OT,
Bengals,Cody Ford,OT,
Bengals,Javon Foster,OT,
Bengals,Ryan Rehkow,P,
Bengals,Joe Flacco,QB,
Bengals,Josh Johnson,QB,
Bengals,Sean Clifford,QB,
Bengals,Gary Brightwell,RB,
Bengals,Kendall Milton,RB,
Bengals,Samaje Perine,RB,
Bengals,Tahj Brooks,RB,
Bengals,Daijahn Anthony,S,
Bengals,PJ Jules,S,
Bengals,Russ Yeast,S,
Bengals,Cam Grandy,TE,
Bengals,Erick All Jr.,TE,
Bengals,Mike Gesicki,TE,
Bengals,Tanner Hudson,TE,
Bengals,Charlie Jones,WR,
Bengals,Dohnte Meyers,WR,
Bengals,Jordan Moore,WR,
Bengals,Ke'Shawn Williams,WR,
Bengals,Kendric Pryor,WR,
Bengals,Mitch Tinsley,WR,
Bengals,Xavier Johnson,WR,
Bills,Christian Benford,CB,TRUE
Bills,Dee Alford,CB,TRUE
Bills,Dorian Strong,CB,TRUE
Bills,Maxwell Hairston,CB,TRUE
Bills,Deone Walker,DT,TRUE
Bills,Ed Oliver,DT,TRUE
Bills,Bradley Chubb,ED,TRUE
Bills,Greg Rousseau,ED,TRUE
Bills,T.J. Sanders,ED,TRUE
Bills,Connor McGovern,IOL,TRUE
Bills,O'Cyrus Torrence,IOL,TRUE
Bills,Terrel Bernard,LB,TRUE
Bills,Alec Anderson,IOL,TRUE
Bills,Dion Dawkins,OT,TRUE
Bills,Spencer Brown,OT,TRUE
Bills,Josh Allen,QB,TRUE
Bills,James Cook III,RB,TRUE
Bills,C.J. Gardner-Johnson,S,TRUE
Bills,Cole Bishop,S,TRUE
Bills,Dawson Knox,TE,TRUE
Bills,DJ Moore,WR,TRUE
Bills,Joshua Palmer,WR,TRUE
Bills,Khalil Shakir,WR,TRUE
Bills,Daryl Porter Jr.,CB,
Bills,MJ Devonshire,CB,
Bills,Te'Cory Couch,CB,
Bills,DeWayne Carter,DT,
Bills,Tommy Akingbesote,DT,
Bills,Zion Logue,DT,
Bills,Andre Jones Jr.,ED,
Bills,Javon Solomon,ED,
Bills,Landon Jackson,ED,
Bills,Michael Hoecht,ED,
Bills,Phidarian Mathis,ED,
Bills,Austin Corbett,IOL,
Bills,Lloyd Cushenberry III,IOL,
Bills,Nick Broeker,IOL,
Bills,Sedrick Van Pran-Granger,IOL,
Bills,Maddux Trujillo,K,
Bills,Tyler Bass,K,
Bills,Dorian Williams,LB,
Bills,Jimmy Ciarlo,LB,
Bills,Joe Andreessen,LB,
Bills,Keonta Jenkins,LB,
Bills,Reid Ferguson,LS,
Bills,Tylan Grable,IOL,
Bills,Chase Lundt,OT,
Bills,Travis Clayton,OT,
Bills,Mitch Wishnowsky,P,
Bills,Kyle Allen,QB,
Bills,Shane Buechele,QB,
Bills,Frank Gore Jr.,RB,
Bills,Ray Davis,RB,
Bills,Ty Johnson,RB,
Bills,Geno Stone,S,
Bills,Jordan Hancock,S,
Bills,Sam Franklin Jr.,S,
Bills,Wande Owens,S,
Bills,Dalton Kincaid,TE,
Bills,Jackson Hawes,TE,
Bills,Keleki Latu,TE,
Bills,Jalen Virgil,WR,
Bills,Keon Coleman,WR,
Bills,Mecole Hardman Jr.,WR,
Bills,Stephen Gosnell,WR,
Bills,Trent Sherfield Sr.,WR,
Bills,Tyrell Shavers,WR,
