GameId,Away,Home,Week,Day,Time
1,Patriots,Seahawks,1,Wed,20:20
2,49ers,Rams,1,AUS,20:35
3,Bills,Texans,1,Sun,13:00
4,Jets,Titans,1,Sun,13:00
5,Buccaneers,Bengals,1,Sun,13:00
6,Browns,Jaguars,1,Sun,13:00
7,Falcons,Steelers,1,Sun,13:00
8,Bears,Panthers,1,Sun,13:00
9,Saints,Lions,1,Sun,13:00
10,Packers,Vikings,1,Sun,13:00
11,Dolphins,Raiders,1,Sun,16:25
12,Cardinals,Chargers,1,Sun,16:25
13,Commanders,Eagles,1,Sun,16:25
14,Ravens,Colts,1,Sun,16:25
15,Cowboys,Giants,1,SNF,20:20
16,Broncos,Chiefs,1,MNF,20:15
17,Lions,Bills,2,TNF,20:15
18,Steelers,Patriots,2,Sun,13:00
19,Packers,Jets,2,Sun,13:00
20,Vikings,Bears,2,Sun,13:00
21,Saints,Ravens,2,Sun,13:00
22,Bengals,Texans,2,Sun,13:00
23,Browns,Buccaneers,2,Sun,13:00
24,Eagles,Titans,2,Sun,13:00
25,Panthers,Falcons,2,Sun,13:00
26,Jaguars,Broncos,2,Sun,16:05
27,Raiders,Chargers,2,Sun,16:05
28,Dolphins,49ers,2,Sun,16:25
29,Commanders,Cowboys,2,Sun,16:25
30,Seahawks,Cardinals,2,Sun,16:25
31,Colts,Chiefs,2,SNF,20:20
32,Giants,Rams,2,MNF,20:15
33,Falcons,Packers,3,TNF,20:15
34,Patriots,Jaguars,3,Sun,13:00
35,Bengals,Steelers,3,Sun,13:00
36,Titans,Giants,3,Sun,13:00
37,Seahawks,Commanders,3,Sun,13:00
38,Chargers,Bills,3,Sun,13:00
39,Chiefs,Dolphins,3,Sun,13:00
40,Jets,Lions,3,Sun,13:00
41,Panthers,Browns,3,Sun,13:00
42,Texans,Colts,3,Sun,13:00
43,Raiders,Saints,3,Sun,13:00
44,Cardinals,49ers,3,Sun,16:05
45,Vikings,Buccaneers,3,Sun,16:05
46,Ravens,Cowboys,3,BRA,16:25
47,Rams,Broncos,3,SNF,20:20
48,Eagles,Bears,3,MNF,20:15
49,Steelers,Browns,4,TNF,20:15
50,Colts,Commanders,4,ENG,09:30
51,Jets,Bears,4,Sun,13:00
52,Cardinals,Giants,4,Sun,13:00
53,Packers,Buccaneers,4,Sun,13:00
54,Patriots,Bills,4,Sun,13:00
55,Titans,Ravens,4,Sun,13:00
56,Jaguars,Bengals,4,Sun,13:00
57,Cowboys,Texans,4,Sun,13:00
58,Rams,Eagles,4,Sun,13:00
59,Dolphins,Vikings,4,Sun,16:05
60,Broncos,49ers,4,Sun,16:25
61,Chargers,Seahawks,4,Sun,16:25
62,Chiefs,Raiders,4,Sun,16:25
63,Lions,Panthers,4,SNF,20:20
64,Falcons,Saints,4,MNF,20:15
65,Buccaneers,Cowboys,5,TNF,20:15
66,Eagles,Jaguars,5,ENG,09:30
67,Browns,Jets,5,Sun,13:00
68,Colts,Steelers,5,Sun,13:00
69,Bengals,Dolphins,5,Sun,13:00
70,Raiders,Patriots,5,Sun,13:00
71,Texans,Titans,5,Sun,13:00
72,Giants,Commanders,5,Sun,13:00
73,Vikings,Saints,5,Sun,13:00
74,Broncos,Chargers,5,Sun,16:05
75,Bears,Packers,5,Sun,16:25
76,Lions,Cardinals,5,Sun,16:25
77,49ers,Seahawks,5,Sun,16:25
78,Ravens,Falcons,5,SNF,20:20
79,Bills,Rams,5,MNF,20:15
80,Seahawks,Broncos,6,TNF,20:15
81,Texans,Jaguars,6,ENG,09:30
82,Saints,Giants,6,Sun,13:00
83,Jets,Patriots,6,Sun,13:00
84,Ravens,Browns,6,Sun,13:00
85,Steelers,Buccaneers,6,Sun,13:00
86,Titans,Colts,6,Sun,13:00
87,Panthers,Eagles,6,Sun,13:00
88,Bears,Falcons,6,Sun,13:00
89,Cardinals,Rams,6,Sun,16:05
90,Chargers,Chiefs,6,Sun,16:25
91,Bills,Raiders,6,Sun,16:25
92,Cowboys,Packers,6,SNF,20:20
93,Commanders,49ers,6,MNF,20:15
94,Patriots,Bears,7,TNF,20:15
95,Steelers,Saints,7,FRA,09:30
96,Dolphins,Jets,7,Sun,13:00
97,Bengals,Ravens,7,Sun,13:00
98,Browns,Titans,7,Sun,13:00
99,Giants,Texans,7,Sun,13:00
100,Colts,Vikings,7,Sun,13:00
101,49ers,Falcons,7,Sun,13:00
102,Buccaneers,Panthers,7,Sun,13:00
103,Broncos,Cardinals,7,Sun,16:05
104,Packers,Lions,7,Sun,16:25
105,Rams,Raiders,7,Sun,16:25
106,Chiefs,Seahawks,7,SNF,20:20
107,Cowboys,Eagles,7,MNF,20:15
108,Panthers,Packers,8,TNF,20:15
109,Raiders,Jets,8,Sun,13:00
110,Browns,Steelers,8,Sun,13:00
111,Colts,Jaguars,8,Sun,13:00
112,Falcons,Buccaneers,8,Sun,13:00
113,Ravens,Bills,8,Sun,13:00
114,Patriots,Dolphins,8,Sun,13:00
115,Titans,Bengals,8,Sun,13:00
116,Cardinals,Cowboys,8,Sun,13:00
117,Vikings,Lions,8,Sun,13:00
118,Chargers,Rams,8,Sun,16:05
119,Chiefs,Broncos,8,Sun,16:25
120,Eagles,Commanders,8,SNF,20:20
121,Bears,Seahawks,8,MNF,20:15
122,Jaguars,Ravens,9,TNF,20:15
123,Bengals,Falcons,9,ESP,09:30
124,Rams,Commanders,9,Sun,13:00
125,Lions,Dolphins,9,Sun,13:00
126,Jets,Chiefs,9,Sun,13:00
127,Browns,Saints,9,Sun,13:00
128,Cowboys,Colts,9,Sun,13:00
129,Broncos,Panthers,9,Sun,13:00
130,Giants,Eagles,9,Sun,13:00
131,Raiders,49ers,9,Sun,16:05
132,Texans,Chargers,9,Sun,16:05
133,Cardinals,Seahawks,9,Sun,16:25
134,Packers,Patriots,9,Sun,16:25
135,Buccaneers,Bears,9,SNF,20:20
136,Bills,Vikings,9,MNF,20:15
137,Commanders,Giants,10,TNF,20:15
138,Patriots,Lions,10,GER,09:30
139,Bills,Jets,10,Sun,13:00
140,Dolphins,Colts,10,Sun,13:00
141,Texans,Browns,10,Sun,13:00
142,Jaguars,Titans,10,Sun,13:00
143,Chiefs,Falcons,10,Sun,13:00
144,Vikings,Packers,10,Sun,13:00
145,Panthers,Saints,10,Sun,13:00
146,Rams,Cardinals,10,Sun,16:05
147,Seahawks,Raiders,10,Sun,16:05
148,49ers,Cowboys,10,Sun,16:25
149,Steelers,Bengals,10,SNF,20:20
150,Chargers,Ravens,10,MNF,20:15
