Round,Overall,Team,Original Team
1,1,Raiders,Raiders
1,2,Jets,Jets
1,3,Cardinals,Cardinals
1,4,Titans,Titans
1,5,Giants,Giants
1,6,Browns,Browns
1,7,Commanders,Commanders
1,8,Saints,Saints
1,9,Chiefs,Chiefs
1,10,Bengals,Bengals
1,11,Dolphins,Dolphins
1,12,Cowboys,Cowboys
1,13,Rams,Falcons
1,14,Ravens,Ravens
1,15,Buccaneers,Buccaneers
1,16,Jets,Colts
1,17,Lions,Lions
1,18,Vikings,Vikings
1,19,Panthers,Panthers
1,20,Cowboys,Packers
1,21,Steelers,Steelers
1,22,Chargers,Chargers
1,23,Eagles,Eagles
1,24,Browns,Jaguars
1,25,Bears,Bears
1,26,Bills,Bills
1,27,49ers,49ers
1,28,Texans,Texans
1,29,Chiefs,Rams
1,30,Dolphins,Broncos
1,31,Patriots,Patriots
1,32,Seahawks,Seahawks
2,33,Jets,Jets
2,34,Cardinals,Cardinals
2,35,Titans,Titans
2,36,Raiders,Raiders
2,37,Giants,Giants
2,38,Texans,Commanders
2,39,Browns,Browns
2,40,Chiefs,Chiefs
2,41,Bengals,Bengals
2,42,Saints,Saints
2,43,Dolphins,Dolphins
2,44,Jets,Cowboys
2,45,Ravens,Ravens
2,46,Buccaneers,Buccaneers
2,47,Colts,Colts
2,48,Falcons,Falcons
2,49,Vikings,Vikings
2,50,Lions,Lions
2,51,Panthers,Panthers
2,52,Packers,Packers
2,53,Steelers,Steelers
2,54,Eagles,Eagles
2,55,Chargers,Chargers
2,56,Jaguars,Jaguars
2,57,Bears,Bears
2,58,49ers,49ers
2,59,Texans,Texans
2,60,Bears,Bills
2,61,Rams,Rams
2,62,Broncos,Broncos
2,63,Patriots,Patriots
2,64,Seahawks,Seahawks
3,65,Cardinals,Cardinals
3,66,Titans,Titans
3,67,Raiders,Raiders
3,68,Eagles,Jets
3,69,Texans,Giants
3,70,Browns,Browns
3,71,Commanders,Commanders
3,72,Bengals,Bengals
3,73,Saints,Saints
3,74,Chiefs,Chiefs
3,75,Dolphins,Dolphins
3,76,Steelers,Cowboys
3,77,Buccaneers,Buccaneers
3,78,Colts,Colts
3,79,Falcons,Falcons
3,80,Ravens,Ravens
3,81,Jaguars,Lions
3,82,Vikings,Vikings
3,83,Panthers,Panthers
3,84,Packers,Packers
3,85,Steelers,Steelers
3,86,Chargers,Chargers
3,87,Dolphins,Eagles
3,88,Jaguars,Jaguars
3,89,Bears,Bears
3,90,Dolphins,Texans
3,91,Bills,Bills
3,92,Cowboys,49ers
3,93,Rams,Rams
3,94,Dolphins,Broncos
3,95,Patriots,Patriots
3,96,Seahawks,Seahawks
3,97,Vikings,Vikings
3,98,Eagles,Eagles
3,99,Steelers,Steelers
3,100,Jaguars,Lions
4,101,Titans,Titans
4,102,Raiders,Raiders
4,103,Jets,Jets
4,104,Cardinals,Cardinals
4,105,Giants,Giants
4,106,Texans,Commanders
4,107,Browns,Browns
4,108,Broncos,Saints
4,109,Chiefs,Chiefs
4,110,Bengals,Bengals
4,111,Broncos,Dolphins
4,112,Cowboys,Cowboys
4,113,Colts,Colts
4,114,Eagles,Falcons
4,115,Ravens,Ravens
4,116,Buccaneers,Buccaneers
4,117,Raiders,Vikings
4,118,Lions,Lions
4,119,Panthers,Panthers
4,120,Packers,Packers
4,121,Steelers,Steelers
4,122,Falcons,Eagles
4,123,Chargers,Chargers
4,124,Jaguars,Jaguars
4,125,Patriots,Bears
4,126,Bills,Bills
4,127,49ers,49ers
4,128,Lions,Texans
4,129,Bears,Rams
4,130,Dolphins,Broncos
4,131,Patriots,Patriots
4,132,Saints,Seahawks
4,133,49ers,49ers
4,134,Raiders,Raiders
4,135,Steelers,Steelers
4,136,Saints,Saints
4,137,Eagles,Eagles
4,138,49ers,49ers
4,139,49ers,49ers
4,140,Jets,Jets
5,141,Texans,Raiders
5,142,Titans,Jets
5,143,Cardinals,Cardinals
5,144,Titans,Titans
5,145,Giants,Giants
5,146,Browns,Browns
5,147,Commanders,Commanders
5,148,Chiefs,Chiefs
5,149,Browns,Bengals
5,150,Saints,Saints
5,151,Dolphins,Dolphins
5,152,Cowboys,Cowboys
5,153,Eagles,Falcons
5,154,Ravens,Ravens
5,155,Buccaneers,Buccaneers
5,156,Colts,Colts
5,157,Lions,Lions
5,158,Panthers,Vikings
5,159,Panthers,Panthers
5,160,Packers,Packers
5,161,Steelers,Steelers
5,162,Ravens,Chargers
5,163,Vikings,Eagles
5,164,Jaguars,Jaguars
5,165,Bills,Bears
5,166,Jaguars,49ers
5,167,Texans,Texans
5,168,Bills,Bills
5,169,Chiefs,Rams
5,170,Broncos,Broncos
5,171,Patriots,Patriots
5,172,Saints,Seahawks
5,173,Ravens,Ravens
5,174,Ravens,Ravens
5,175,Raiders,Raiders
5,176,Chiefs,Chiefs
5,177,Cowboys,Cowboys
5,178,Eagles,Eagles
5,179,Jets,Jets
5,180,Cowboys,Cowboys
