Round,Pick,Team,Original
1,1,MIA,MIA
1,2,ARI,ARI
1,3,NYJ,NYJ
1,4,CLE,CLE
1,5,LV,LV
1,6,TEN,TEN
1,7,NO,NO
1,8,CAR,CAR
1,9,ATL,ATL
1,10,PIT,PIT
1,11,NYG,NYG
1,12,WAS,WAS
1,13,MIN,MIN
1,14,NYJ,IND
1,15,NYJ,DAL
1,16,CIN,CIN
1,17,JAX,JAX
1,18,CHI,CHI
1,19,TB,TB
1,20,HOU,HOU
1,21,DEN,DEN
1,22,NE,NE
1,23,DAL,GB
1,24,SF,SF
1,25,DET,DET
1,26,LAC,LAC
1,27,KC,KC
1,28,SEA,SEA
1,29,PHI,PHI
1,30,BAL,BAL
1,31,BUF,BUF
1,32,LAR,LAR
2,33,MIA,MIA
2,34,ARI,ARI
2,35,NYJ,NYJ
2,36,CLE,CLE
2,37,LV,LV
2,38,TEN,TEN
2,39,NO,NO
2,40,CAR,CAR
2,41,ATL,ATL
2,42,PIT,PIT
2,43,NYG,NYG
2,44,WAS,WAS
2,45,MIN,MIN
2,46,IND,IND
2,47,DAL,DAL
2,48,CIN,CIN
2,49,JAX,JAX
2,50,CHI,CHI
2,51,TB,TB
2,52,HOU,HOU
2,53,DEN,DEN
2,54,NE,NE
2,55,GB,GB
2,56,SF,SF
2,57,DET,DET
2,58,LAC,LAC
2,59,KC,KC
2,60,SEA,SEA
2,61,PHI,PHI
2,62,BAL,BAL
2,63,BUF,BUF
2,64,LAR,LAR
3,65,MIA,MIA
3,66,ARI,ARI
3,67,NYJ,NYJ
3,68,CLE,CLE
3,69,LV,LV
3,70,TEN,TEN
3,71,NO,NO
3,72,CAR,CAR
3,73,ATL,ATL
3,74,PIT,PIT
3,75,NYG,NYG
3,76,WAS,WAS
3,77,MIN,MIN
3,78,IND,IND
3,79,DAL,DAL
3,80,CIN,CIN
3,81,JAX,JAX
3,82,CHI,CHI
3,83,TB,TB
3,84,HOU,HOU
3,85,DEN,DEN
3,86,NE,NE
3,87,GB,GB
3,88,SF,SF
3,89,DET,DET
3,90,LAC,LAC
3,91,KC,KC
3,92,SEA,SEA
3,93,MIN,PHI
3,94,BAL,BAL
3,95,BUF,BUF
3,96,KC,LAR
4,97,MIA,MIA
4,98,ARI,ARI
4,99,NYJ,NYJ
4,100,CLE,CLE
4,101,LV,LV
4,102,TEN,TEN
4,103,NO,NO
4,104,CAR,CAR
4,105,ATL,ATL
4,106,PIT,PIT
4,107,CLE,NYG
4,108,WAS,WAS
4,109,CAR,MIN
4,110,IND,IND
4,111,GB,DAL
4,112,CIN,CIN
4,113,JAX,JAX
4,114,CHI,CHI
4,115,TB,TB
4,116,HOU,HOU
4,117,DEN,DEN
4,118,NE,NE
4,119,GB,GB
4,120,SF,SF
4,121,DET,DET
4,122,LAC,LAC
4,123,KC,KC
4,124,CLE,SEA
4,125,PHI,PHI
4,126,BAL,BAL
4,127,BUF,BUF
4,128,LAR,LAR
5,129,MIA,MIA
5,130,ARI,ARI
5,131,NYJ,NYJ
5,132,CLE,CLE
5,133,LV,LV
5,134,TEN,TEN
5,135,NO,NO
5,136,MIN,CAR
5,137,ATL,ATL
5,138,MIA,PIT
5,139,NYG,NYG
5,140,WAS,WAS
5,141,MIN,MIN
5,142,IND,IND
5,143,PIT,DAL
5,144,CIN,CIN
5,145,JAX,JAX
5,146,NE,CHI
5,147,TB,TB
5,148,CLE,HOU
5,149,DEN,DEN
5,150,NE,NE
5,151,GB,GB
5,152,SF,SF
5,153,DET,DET
5,154,LAC,LAC
5,155,KC,KC
5,156,SEA,SEA
5,157,PHI,PHI
5,158,BAL,BAL
5,159,BUF,BUF
5,160,LAR,LAR
6,161,MIA,MIA
6,162,ARI,ARI
6,163,MIN,NYJ
6,164,HOU,CLE
6,165,LV,LV
6,166,TEN,TEN
6,167,NE,NO
6,168,CAR,CAR
6,169,ATL,ATL
6,170,DAL,PIT
6,171,NYG,NYG
6,172,WAS,WAS
6,173,NE,MIN
6,174,IND,IND
6,175,DAL,DAL
6,176,CIN,CIN
6,177,JAX,JAX
6,178,CHI,CHI
6,179,TB,TB
6,180,NE,HOU
6,181,DEN,DEN
6,182,NE,NE
6,183,NYJ,GB
6,184,KC,SF
6,185,DET,DET
6,186,NO,LAC
6,187,NYJ,KC
6,188,SEA,SEA
6,189,GB,PHI
6,190,SF,BAL
6,191,BUF,BUF
6,192,LAR,LAR
7,193,PIT,MIA
7,194,ARI,ARI
7,195,PHI,NYJ
7,196,CLE,CLE
7,197,BUF,LV
7,198,TEN,TEN
7,199,DEN,NO
7,200,CAR,CAR
7,201,ATL,ATL
7,202,PIT,PIT
7,203,NYG,NYG
7,204,WAS,WAS
7,205,MIN,MIN
7,206,IND,IND
7,207,PHI,DAL
7,208,CIN,CIN
7,209,JAX,JAX
7,210,CHI,CHI
7,211,TB,TB
7,212,HOU,HOU
7,213,DEN,DEN
7,214,HOU,NE
7,215,GB,GB
7,216,SF,SF
7,217,DET,DET
7,218,LAC,LAC
7,219,SF,KC
7,220,SEA,SEA
7,221,MIN,PHI
7,222,PHI,BAL
7,223,BUF,BUF
7,224,LAC,LAR
