Player,Rank,Position,College,College Logo
Arch Manning,1,QB,Texas,texas.png
Dante Moore,2,QB,Oregon,oregon.png
Jeremiah Smith,3,WR,Ohio State,ohio-state.png
Colin Simmons,4,ED,Texas,texas.png
Leonard Moore,5,CB,Notre Dame,notre-dame.png
Julian Sayin,6,QB,Ohio State,ohio-state.png
Dylan Stewart,7,ED,South Carolina,south-carolina.png
Jordan Seaton,8,OT,LSU,lsu.png
Matayo Uiagalelei,9,ED,Oregon,oregon.png
Cam Coleman,10,WR,Texas,texas.png
Trevor Goosby,11,OT,Texas,texas.png
Ellis Robinson IV,12,CB,Georgia,georgia.png
Zabien Brown,13,CB,Alabama,alabama.png
KJ Bolden,14,S,Georgia,georgia.png
David Stone,15,DL,Oklahoma,oklahoma.png
Brendan Sorsby,16,QB,Texas Tech,texas-tech.png
Ryan Williams,17,WR,Alabama,alabama.png
CJ Carr,18,QB,Notre Dame,notre-dame.png
Darian Mensah,19,QB,Miami (FL),miami-fl.png
LaNorris Sellers,20,QB,South Carolina,south-carolina.png
A'Mauri Washington,21,DL,Oregon,oregon.png
Jamari Johnson,22,TE,Oregon,oregon.png
Trey'Dez Green,23,TE,LSU,lsu.png
Ahmad Hardy,24,RB,Missouri,missouri.png
Jayden Maiava,25,QB,USC,usc.png
Ahmad Moten Sr.,26,DL,Miami (FL),miami-fl.png
Austin Siereveld,27,OT,Ohio State,ohio-state.png
Dylan Raiola,28,QB,Oregon,oregon.png
Quincy Rhodes Jr.,29,ED,Arkansas,arkansas.png
Kewan Lacy,30,RB,Mississippi,mississippi.png
Cayden Green,31,OT,Missouri,missouri.png
Kyngstonn Viliamu-Asa,32,LB,Notre Dame,notre-dame.png
DJ Lagway,33,QB,Baylor,baylor.png
Kelley Jones,34,CB,Mississippi State,mississippi-state.png
Anthony Smith,35,DL,Minnesota,minnesota.png
Mario Craver,36,WR,Texas A&M,texas-am.png
Koi Perich,37,S,Oregon,oregon.png
Nick Marsh,38,WR,Indiana,indiana.png
Sammy Brown,39,LB,Clemson,clemson.png
Omarion Miller,40,WR,Arizona State,arizona-state.png
Damon Wilson Jr.,41,ED,Miami (FL),miami-fl.png
