Player,Rank,Position
Fernando Mendoza,1,QB
Rueben Bain Jr,2,ED
Arvell Reese,3,LB
David Bailey,4,ED
Caleb Downs,5,S
Jeremiyah Love,6,HB
Carnell Tate,7,WR
Sonny Styles,8,LB
Makai Lemon,9,WR
Mansoor Delane,10,CB
Francis Mauigoa,11,T
Jermod McCoy,12,CB
Peter Woods,13,DI
Jordyn Tyson,14,WR
Cashius Howell,15,ED
Keldric Faulk,16,ED
Caleb Banks,17,DI
Spencer Fano,18,T
Avieon Terrell,19,CB
Denzel Boston,20,WR
Kayden McDonald,21,DI
Olaivavega Ioane,22,G
TJ Parker,23,ED
Kenyon Sadiq,24,TE
Kadyn Proctor,25,T
Lee Hunter,26,DI
CJ Allen,27,LB
KC Concepcion,28,WR
Caleb Lomu,29,T
Christen Miller,30,DI
Monroe Freeling,31,T
Brandon Cisse,32,CB
Akheem Mesidor,33,ED
Ty Simpson,34,QB
Emmanuel McNeil-Warren,35,S
Keith Abney II,36,CB
Chris Bell,37,WR
R Mason Thomas,38,ED
Dillon Thieneman,39,S
Anthony Hill Jr,40,LB
Omar Cooper Jr,41,WR
Gabe Jacas,42,ED
AJ Haulcy,43,S
Emmanuel Pregnon,44,G
Eli Stowers,45,TE
Zion Young,46,ED
Max Iheanachor,47,T
Colton Hood,48,CB
LT Overton,49,ED
Keionte Scott,50,CB
Jake Golday,51,LB
Blake Miller,52,T
Romello Height,53,ED
Chase Bisontis,54,G
D'Angelo Ponds,55,CB
Caleb Tiernan,56,T
Germie Bernard,57,WR
Dontay Corleone,58,DI
Chris Johnson,59,CB
Derrick Moore,60,ED
Jadarian Price,61,HB
Josiah Trotter,62,LB
Joshua Josephs,63,ED
Kamari Ramsey,64,S
Connor Lew,65,C
Domonique Orange,66,DI
Elijah Sarratt,67,WR
Sam Hecht,68,C
Chandler Rivers,69,CB
Anthony Lucas,70,ED
Max Klare,71,TE
Jack Endries,72,TE
Daylen Everette,73,CB
CJ Daniels,74,WR
Michael Trigg,75,TE
Zachariah Branch,76,WR
Jake Slaughter,77,C
Jonah Coleman,78,HB
Skyler Bell,79,WR
Garrett Nussmeier,80,QB
Emmett Johnson,81,HB
Devin Moore,82,CB
Gennings Dunker,83,T
Deontae Lawson,84,LB
Malachi Fields,85,WR
Keyron Crawford,86,ED
Darrell Jackson Jr,87,DI
Justin Joly,88,TE
Chris Brazzell II,89,WR
Deion Burks,90,WR
Kyle Louis,91,LB
Dani Dennis-Sutton,92,ED
Jacob Rodriguez,93,LB
Keylan Rutledge,94,G
Carson Beck,95,QB
Zakee Wheatley,96,S
Antonio Williams,97,WR
Seth McGowan,98,HB
Genesis Smith,99,S
Mikail Kamara,100,ED
Tyreak Sapp,101,ED
Cyrus Allen,102,WR
Treydan Stukes,103,CB
Jaishawn Barham,104,ED
Sam Roush,105,TE
Markel Bell,106,T
Billy Schrauth,107,G
Will Lee III,108,CB
Xavier Scott,109,CB
Jalen Farmer,110,G
Malik Muhammad,111,CB
Skyler Gill-Howard,112,DI
De'Zhaun Stribling,113,WR
Marlin Klein,114,TE
Bud Clark,115,S
Brian Parker II,116,T
Tim Keenan III,117,DI
Taurean York,118,LB
Nick Singleton,119,HB
JC Davis,120,T
Nadame Tucker,121,ED
Austin Barber,122,T
Davison Igbinosun,123,CB
Brenen Thompson,124,WR
Jager Burton,125,C
Josh Cuevas,126,TE
